ID,Gene,gene-onnection,Status,Variant and risk allele,P-value,P-value annotation,RAF,OR,Beta,CI,Mapped gene,Reported trait,Trait(s),Study accession,Location,Grouping
1724,LINC02502,LINC02502,N/a,rs1847331-<b>G</b>,2 x 10-8,,0.27,1.05,'-,[1.02-1.08],"LINC02502, MAD2L1",Coronary artery disease,coronary artery disease,GCST010479,4:120015426,Cardiovascular
347,LINC02574,LINC02574,N/a,rs2076460-<b>C</b>,4 x 10-9,(East Asian),0.3006,'-,0.4158 unit decrease,[0.28-0.55],"LINC02574, FGR",Systolic blood pressure,systolic blood pressure,GCST007703,1:27645547,Cardiovascular
713,LINC02574,LINC02574,N/a,rs2076460-<b>C</b>,2 x 10-6,(East Asian),0.3111,'-,0.2277 unit decrease,[0.13-0.32],"LINC02574, FGR",Pulse pressure,pulse pressure measurement,GCST007705,1:27645547,Cardiovascular
1045,LINC02574,LINC02574,N/a,rs2076460-<b>C</b>,8 x 10-8,(East Asian),0.3111,'-,0.2662 unit decrease,[0.17-0.36],"LINC02574, FGR",Mean arterial pressure,mean arterial pressure,GCST007706,1:27645547,Cardiovascular
128,MGST1,MGST1,N/a,rs10846378-<b>G</b>,2 x 10-9,,NR,'-,0.0144 unit decrease,[0.0097-0.0191],"LMO3, MGST1",Triglyceride levels,triglyceride measurement,GCST90019523,12:16590500,Cardiovascular
761,MGST1,MGST1,N/a,rs9332958-<b>?</b>,5 x 10-6,,NR,'-,'-,'-,MGST1,PR interval in Tripanosoma cruzi seropositivity,"PR interval, Trypanosoma cruzi seropositivity",GCST002279,12:16366329,Cardiovascular
333,MRPL40P1,MRPL40P1,N/a,rs4143175-<b>T</b>,5 x 10-10,,0.2409,'-,0.2187 mmHg increase,[0.15-0.29],"MRPL40P1, NTAN1P3",Systolic blood pressure,systolic blood pressure,GCST006628,12:67388617,Cardiovascular
1344,PHF2,PHF2,N/a,rs1806524-<b>T</b>,7 x 10-6,,0.3042,0.7685,'-,[0.685-0.8622],PHF2,Coronary artery disease in hypertension,"hypertension, coronary artery disease",GCST90014125,9:93622242,Cardiovascular
643,PPM1K,PPM1K,N/a,rs72661666-<b>C</b>,7 x 10-6,,0.988771,12.519281,'-,NR,PPM1K,Stent thrombosis in response to clopidogrel treatment,"response to clopidogrel, cardiovascular event measurement",GCST010484,4:88275046,Cardiovascular
708,PROM1,PROM1,N/a,rs4698433-<b>T</b>,6 x 10-6,,'-,'-,7.23 ms increase,[NR],"PROM1, FGFBP2",QT interval,QT interval,GCST001922,4:15963240,Cardiovascular
714,PROM1,PROM1,N/a,rs11730129-<b>T</b>,1 x 10-10,,0.2179,'-,0.1608 unit decrease,[0.11-0.21],PROM1,Pulse pressure,pulse pressure measurement,GCST006626,4:16031325,Cardiovascular
1604,PROM1,PROM1,N/a,rs2292804-<b>C</b>,2 x 10-9,(-16 ms),0.225608,'-,0.0390552 unit decrease,[0.026-0.052],PROM1,Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,4:16035461,Cardiovascular
1605,PROM1,PROM1,N/a,rs2292804-<b>C</b>,3 x 10-8,(-20 ms),0.225608,'-,0.0375823 unit decrease,[0.024-0.051],PROM1,Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,4:16035461,Cardiovascular
1606,PROM1,PROM1,N/a,rs2292804-<b>C</b>,3 x 10-9,(-18 ms),0.225608,'-,0.0397178 unit decrease,[0.027-0.053],PROM1,Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,4:16035461,Cardiovascular
1607,PROM1,PROM1,N/a,rs2292804-<b>C</b>,2 x 10-8,(-14 ms),0.225608,'-,0.035972 unit decrease,[0.023-0.049],PROM1,Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,4:16035461,Cardiovascular
1343,PSMG4,PSMG4,N/a,rs9378357-<b>A</b>,1 x 10-6,(sICAM-1 ),0.185,'-,0.03 pg/mL increase,[NR],"PSMG4, SLC22A23",Obesity-related traits,ICAM-1 measurement,GCST001762,6:3294590,Cardiovascular
1608,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,7 x 10-13,(114 ms),0.933125,'-,0.0777514 unit increase,[0.056-0.099],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1609,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,7 x 10-11,(82 ms),0.933125,'-,0.0714798 unit increase,[0.05-0.093],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1610,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,7 x 10-10,(84 ms),0.933125,'-,0.0668287 unit increase,[0.045-0.089],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1611,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,6 x 10-10,(156 ms),0.933125,'-,0.0664209 unit increase,[0.045-0.088],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1612,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-10,(158 ms),0.933125,'-,0.0680886 unit increase,[0.046-0.09],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1613,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,2 x 10-9,(166 ms),0.933125,'-,0.063304 unit increase,[0.042-0.085],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1614,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-8,(170 ms),0.933125,'-,0.0606286 unit increase,[0.039-0.082],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1615,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-8,(172 ms),0.933125,'-,0.060749 unit increase,[0.039-0.082],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1616,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,5 x 10-9,(90 ms),0.933125,'-,0.0643704 unit increase,[0.043-0.086],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1617,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-8,(96 ms),0.933125,'-,0.063406 unit increase,[0.042-0.085],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1618,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,6 x 10-10,(98 ms),0.933125,'-,0.0671264 unit increase,[0.045-0.089],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1619,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,5 x 10-10,(106 ms),0.933125,'-,0.0675031 unit increase,[0.046-0.089],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1620,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-9,(108 ms),0.933125,'-,0.0660855 unit increase,[0.044-0.088],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1621,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,2 x 10-8,(110 ms),0.933125,'-,0.0612496 unit increase,[0.04-0.083],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1622,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-10,(112 ms),0.933125,'-,0.0687352 unit increase,[0.047-0.09],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1623,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,9 x 10-12,(116 ms),0.933125,'-,0.0727283 unit increase,[0.051-0.094],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1624,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-10,(118 ms),0.933125,'-,0.0690176 unit increase,[0.047-0.091],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1625,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-12,(120 ms),0.933125,'-,0.0749531 unit increase,[0.053-0.097],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1626,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,4 x 10-12,(122 ms),0.933125,'-,0.0758088 unit increase,[0.054-0.098],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1627,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-10,(124 ms),0.933125,'-,0.0677284 unit increase,[0.046-0.089],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1628,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-10,(126 ms),0.933125,'-,0.0662138 unit increase,[0.045-0.088],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1629,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,4 x 10-11,(128 ms),0.933125,'-,0.0698971 unit increase,[0.048-0.092],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1630,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-10,(130 ms),0.933125,'-,0.0660853 unit increase,[0.044-0.088],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1631,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-8,(132 ms),0.933125,'-,0.0603223 unit increase,[0.039-0.082],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1632,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,6 x 10-9,(134 ms),0.933125,'-,0.0625292 unit increase,[0.041-0.084],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1633,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-10,(136 ms),0.933125,'-,0.0690086 unit increase,[0.047-0.091],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1634,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,2 x 10-11,(138 ms),0.933125,'-,0.0705194 unit increase,[0.049-0.092],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1635,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,2 x 10-11,(140 ms),0.933125,'-,0.0699696 unit increase,[0.048-0.092],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1636,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-11,(142 ms),0.933125,'-,0.0718698 unit increase,[0.05-0.094],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1637,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,4 x 10-11,(148 ms),0.933125,'-,0.0690076 unit increase,[0.047-0.091],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1638,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,1 x 10-10,(150 ms),0.933125,'-,0.0678752 unit increase,[0.046-0.09],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1639,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,3 x 10-10,(152 ms),0.933125,'-,0.0668502 unit increase,[0.045-0.089],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
1640,PSMG4,PSMG4,N/a,rs61367953-<b>G</b>,4 x 10-9,(154 ms),0.933125,'-,0.0638317 unit increase,[0.042-0.085],"PSMG4, SLC22A23",Electrocardiogram morphology (amplitude at temporal datapoints),electrocardiography,GCST010796,6:3287747,Cardiovascular
715,RBM25,RBM25,N/a,rs11392696-<b>G</b>,5 x 10-13,,0.3152,'-,0.2049 mmHg decrease,[0.15-0.26],RBM25,Pulse pressure,pulse pressure measurement,GCST007269,14:73112414,Cardiovascular
44,ROR1,ROR1,N/a,rs11392719-<b>TA</b>,7 x 10-6,,'-,'-,0.0837 SD units increase,[0.047-0.12],ROR1,Vascular endothelial growth factor levels,vascular endothelial growth factor measurement,GCST004422,1:63792780,Cardiovascular
331,SLC16A1,SLC16A1,N/a,rs773430-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,SLC16A1-AS1,Systolic blood pressure,systolic blood pressure,GCST007087,1:112993425,Cardiovascular
332,SLC16A1,SLC16A1-AS1,N/a,rs773430-<b>?</b>,2 x 10-9,,NR,'-,'-,'-,SLC16A1-AS1,Systolic blood pressure,systolic blood pressure,GCST007087,1:112993425,Cardiovascular
923,SLC22A4,SLC22A4,N/a,rs273909-<b>G</b>,9 x 10-6,,0.112207,1.05,'-,[1.03-1.08],"MIR3936HG, SLC22A4",Myocardial infarction,myocardial infarction,GCST011365,5:132331660,Cardiovascular
1716,SLC22A4,SLC22A4,N/a,rs273909-<b>A</b>,3 x 10-10,,0.8736,'-,0.0534 unit decrease,[0.037-0.07],"MIR3936HG, SLC22A4",Coronary artery disease,coronary artery disease,GCST005196,5:132331660,Cardiovascular
1717,SLC22A4,SLC22A4,N/a,rs273909-<b>A</b>,5 x 10-10,,0.8754,'-,0.0488 unit decrease,[0.034-0.064],"MIR3936HG, SLC22A4",Coronary artery disease,coronary artery disease,GCST005195,5:132331660,Cardiovascular
707,SMURF2,SMURF2,N/a,rs9900062-<b>A</b>,5 x 10-6,,0.71,'-,1.15 ms decrease,[0.66-1.64],"SMURF2, MICOS10P2",QT interval,QT interval,GCST005171,17:64743456,Cardiovascular
716,SPTBN4,SPTBN4,N/a,rs12982298-<b>T</b>,6 x 10-19,,0.3398,'-,0.1862 mmHg increase,[0.15-0.23],SPTBN4,Pulse pressure,pulse pressure measurement,GCST007269,19:40541454,Cardiovascular
1667,TGM3,TGM3,N/a,rs13040824-<b>?</b>,9 x 10-7,(Pre-puberty),NR,'-,0.902 unit decrease,[0.054-0.127],"STK35, TGM3",Diastolic blood pressure,diastolic blood pressure,GCST003671,20:2245223,Cardiovascular
1725,WDR86,WDR86,N/a,rs13232179-<b>A</b>,1 x 10-6,,0.11,1.67,'-,[1.36-2.06],"WDR86-AS1, CRYGN",Coronary heart disease,coronary artery disease,GCST000972,7:151423862,Cardiovascular
1726,WDR86,WDR86-AS1,N/a,rs13232179-<b>A</b>,1 x 10-6,,0.11,1.67,'-,[1.36-2.06],"WDR86-AS1, CRYGN",Coronary heart disease,coronary artery disease,GCST000972,7:151423862,Cardiovascular
1780,WDR86,WDR86,N/a,rs77300744-<b>A</b>,5 x 10-6,,NR,'-,0.44842723 unit increase,[0.26-0.64],"WDR86, NUB1",Carotid plaque burden,carotid plaque build,GCST004162,7:151377657,Cardiovascular
1361,ADH1A,ADH1A,N/a,rs13132430-<b>A</b>,1 x 10-8,,0.01,'-,0.17 s.d. increase,[0.11-0.23],"ADH1B, ADH1A",HDL cholesterol,high density lipoprotein cholesterol measurement,GCST002899,4:99302913,Cholesterol
210,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Cholesterol
218,APOB,APOB,N/a,rs562338-<b>?</b>,5 x 10-21,,NR,'-,'-,'-,"APOB, TDRD15","Age-related diseases, mortality and associated endophenotypes","total cholesterol measurement, hematocrit, stroke, ventricular rate measurement, body mass index, atrial fibrillation, high density lipoprotein cholesterol measurement, coronary artery disease, cancer, diastolic blood pressure, triglyceride measurement, systolic blood pressure, heart failure, diabetes mellitus, glucose measurement, mortality",GCST004045,2:21065449,Cholesterol
230,APOB,APOB,N/a,rs562338-<b>?</b>,3 x 10-25,,NR,'-,'-,'-,"APOB, TDRD15",Age-related disease endophenotypes,"total cholesterol measurement, diastolic blood pressure, triglyceride measurement, systolic blood pressure, hematocrit, ventricular rate measurement, glucose measurement, body mass index, high density lipoprotein cholesterol measurement",GCST004046,2:21065449,Cholesterol
234,APOB,APOB,N/a,rs57825321-<b>?</b>,8 x 10-32,,NR,'-,0.07307 unit decrease,[0.061-0.085],APOB,Total cholesterol levels,total cholesterol measurement,GCST006034,2:21024193,Cholesterol
235,APOB,APOB,N/a,rs2678379-<b>A</b>,3 x 10-17,(EA),0.215,'-,0.047 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21003688,Cholesterol
236,APOB,APOB,N/a,rs2678379-<b>A</b>,1 x 10-11,,NR,'-,0.034 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21003688,Cholesterol
237,APOB,APOB,N/a,rs676210-<b>G</b>,2 x 10-17,(EA),0.785,'-,0.047 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21008652,Cholesterol
238,APOB,APOB,N/a,rs676210-<b>G</b>,9 x 10-12,,NR,'-,0.034 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21008652,Cholesterol
239,APOB,APOB,N/a,rs1041968-<b>G</b>,3 x 10-94,(EA),0.511,'-,0.094 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21009932,Cholesterol
240,APOB,APOB,N/a,rs1041968-<b>G</b>,5 x 10-7,(Hispanic),0.675,'-,0.085 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21009932,Cholesterol
241,APOB,APOB,N/a,rs1041968-<b>G</b>,7 x 10-104,,NR,'-,0.094 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21009932,Cholesterol
242,APOB,APOB,N/a,rs533617-<b>T</b>,2 x 10-30,(EA),0.96,'-,0.133 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21011100,Cholesterol
243,APOB,APOB,N/a,rs533617-<b>T</b>,4 x 10-32,,NR,'-,0.133 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21011100,Cholesterol
244,APOB,APOB,N/a,rs673548-<b>G</b>,1 x 10-17,(EA),0.785,'-,0.048 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21014672,Cholesterol
245,APOB,APOB,N/a,rs673548-<b>G</b>,1 x 10-11,,NR,'-,0.034 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21014672,Cholesterol
246,APOB,APOB,N/a,rs1367117-<b>G</b>,5 x 10-109,(EA),0.688,'-,0.109 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21041028,Cholesterol
247,APOB,APOB,N/a,rs1367117-<b>G</b>,4 x 10-11,(Hispanic),0.723,'-,0.11 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21041028,Cholesterol
248,APOB,APOB,N/a,rs1367117-<b>G</b>,2 x 10-125,,NR,'-,0.109 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21041028,Cholesterol
249,APOB,APOB,N/a,rs4564803-<b>G</b>,1 x 10-25,(EA),0.761,'-,0.056 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20982630,Cholesterol
250,APOB,APOB,N/a,rs4564803-<b>G</b>,2 x 10-19,,NR,'-,0.043 unit increase,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20982630,Cholesterol
251,APOB,APOB,N/a,rs13392272-<b>C</b>,3 x 10-78,(EA),0.526,'-,0.085 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20994618,Cholesterol
252,APOB,APOB,N/a,rs13392272-<b>C</b>,1 x 10-6,(Hispanic),0.607,'-,0.074 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20994618,Cholesterol
253,APOB,APOB,N/a,rs13392272-<b>C</b>,3 x 10-87,,NR,'-,0.084 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20994618,Cholesterol
254,APOB,APOB,N/a,rs4665710-<b>A</b>,2 x 10-18,(EA),0.215,'-,0.049 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20998163,Cholesterol
255,APOB,APOB,N/a,rs4665710-<b>A</b>,2 x 10-12,,NR,'-,0.035 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:20998163,Cholesterol
256,APOB,APOB,N/a,rs1042034-<b>C</b>,3 x 10-18,(EA),0.215,'-,0.048 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21002409,Cholesterol
257,APOB,APOB,N/a,rs1042034-<b>C</b>,2 x 10-12,,NR,'-,0.035 unit decrease,'-,APOB,Total cholesterol levels,total cholesterol measurement,GCST007143,2:21002409,Cholesterol
258,APOB,APOB,N/a,rs1041968-<b>A</b>,5 x 10-54,,0.48,'-,0.095 s.d. increase,[0.083-0.107],APOB,"Cholesterol, total",total cholesterol measurement,GCST002896,2:21009932,Cholesterol
259,APOB,APOB,N/a,rs1041968-<b>?</b>,5 x 10-13,,NR,'-,2.812376 unit increase,[2.05-3.57],APOB,Total cholesterol levels,total cholesterol measurement,GCST008045,2:21009932,Cholesterol
260,APOB,APOB,N/a,rs12713956-<b>?</b>,7 x 10-14,,NR,'-,3.480172 unit decrease,[2.57-4.39],APOB,Total cholesterol levels,total cholesterol measurement,GCST008045,2:21018633,Cholesterol
261,APOB,APOB,N/a,rs13392272-<b>?</b>,6 x 10-12,,NR,'-,2.694755 unit increase,[1.93-3.46],APOB,Total cholesterol levels,total cholesterol measurement,GCST008045,2:20994618,Cholesterol
262,APOB,APOB,N/a,rs1367117-<b>?</b>,4 x 10-22,,NR,'-,4.138443 unit increase,[3.3-4.98],APOB,Total cholesterol levels,total cholesterol measurement,GCST008045,2:21041028,Cholesterol
263,APOB,APOB,N/a,rs1367117-<b>?</b>,1 x 10-49,,'-,'-,0.074 unit decrease,[0.064-0.084],APOB,Total cholesterol levels,total cholesterol measurement,GCST011346,2:21041028,Cholesterol
264,APOB,APOB,N/a,rs693-<b>?</b>,4 x 10-13,,NR,'-,2.828003 unit increase,[2.07-3.59],APOB,Total cholesterol levels,total cholesterol measurement,GCST008045,2:21009323,Cholesterol
265,APOB,APOB,N/a,rs9282603-<b>G</b>,2 x 10-10,(AA),0.0038,'-,0.316 mg dl-1 increase,[0.22-0.41],APOB,Total cholesterol levels,total cholesterol measurement,GCST006614,2:21041014,Cholesterol
266,APOB,APOB,N/a,rs13306194-<b>A</b>,4 x 10-6,,0.124,'-,4.1917 unit decrease,[2.41-5.97],APOB,Total cholesterol levels,total cholesterol measurement,GCST007441,2:21029662,Cholesterol
267,APOB,APOB,N/a,rs1042031-<b>T</b>,2 x 10-65,,NR,'-,0.0529 unit decrease,[0.047-0.059],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21002881,Cholesterol
268,APOB,APOB,N/a,rs673548-<b>A</b>,1 x 10-55,,NR,'-,0.0459 unit decrease,[0.04-0.052],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21014672,Cholesterol
269,APOB,APOB,N/a,rs1801701-<b>T</b>,6 x 10-33,,NR,'-,0.048 unit increase,[0.04-0.056],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21005955,Cholesterol
270,APOB,APOB,N/a,rs550619-<b>A</b>,7 x 10-123,,NR,'-,0.1018 unit increase,[0.093-0.11],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21037729,Cholesterol
271,APOB,APOB,N/a,rs533617-<b>C</b>,1 x 10-102,,NR,'-,0.132 unit decrease,[0.12-0.14],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21011100,Cholesterol
272,APOB,APOB,N/a,rs12691202-<b>T</b>,4 x 10-85,,NR,'-,0.1214 unit decrease,[0.11-0.13],APOB,Total cholesterol levels,total cholesterol measurement,GCST90019501,2:21026844,Cholesterol
273,APOB,APOB,N/a,rs562338-<b>A</b>,2 x 10-127,,NR,'-,0.13 unit decrease,'-,"APOB, TDRD15",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21065449,Cholesterol
274,APOB,APOB,N/a,rs668948-<b>G</b>,1 x 10-118,(EA),0.19,'-,0.135 unit decrease,'-,"APOB, TDRD15",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21068657,Cholesterol
275,APOB,APOB,N/a,rs668948-<b>G</b>,4 x 10-14,(Hispanic),0.175,'-,0.148 unit decrease,'-,"APOB, TDRD15",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21068657,Cholesterol
276,APOB,APOB,N/a,rs668948-<b>G</b>,2 x 10-132,,NR,'-,0.133 unit decrease,'-,"APOB, TDRD15",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21068657,Cholesterol
277,APOB,APOB,N/a,rs541041-<b>G</b>,3 x 10-119,(EA),0.189,'-,0.135 unit decrease,'-,"TDRD15, APOB",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21072103,Cholesterol
278,APOB,APOB,N/a,rs541041-<b>G</b>,4 x 10-14,(Hispanic),0.174,'-,0.149 unit decrease,'-,"TDRD15, APOB",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21072103,Cholesterol
279,APOB,APOB,N/a,rs541041-<b>G</b>,3 x 10-133,,NR,'-,0.133 unit decrease,'-,"TDRD15, APOB",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21072103,Cholesterol
280,APOB,APOB,N/a,rs568938-<b>C</b>,2 x 10-99,(EA),0.205,'-,0.12 unit decrease,'-,"TDRD15, APOB",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21080744,Cholesterol
281,APOB,APOB,N/a,rs568938-<b>C</b>,5 x 10-12,(Hispanic),0.183,'-,0.133 unit decrease,'-,"TDRD15, APOB",Total cholesterol levels,total cholesterol measurement,GCST007143,2:21080744,Cholesterol
